/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=5.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:333: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론6 목적지57 |  780스텝 | 배송 57/57 | 재적재  9 | 중계율 0.15 | alpha 0.100 | complete
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 37/50 | 재적재  5 | 중계율 0.19 | alpha 0.100 | step_limit
Ep 3 | 드론6 목적지72 | 1000스텝 | 배송 68/72 | 재적재 11 | 중계율 0.15 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 38/46 | 재적재  6 | 중계율 0.19 | alpha 0.099 | step_limit
Ep 5 | 드론4 목적지58 | 1000스텝 | 배송 33/58 | 재적재  5 | 중계율 0.29 | alpha 0.107 | step_limit
Ep 6 | 드론3 목적지61 | 1000스텝 | 배송 52/61 | 재적재 10 | 중계율 0.31 | alpha 0.118 | step_limit
Ep 7 | 드론3 목적지30 |  782스텝 | 배송 30/30 | 재적재  4 | 중계율 0.30 | alpha 0.126 | complete
Ep 8 | 드론3 목적지69 | 1000스텝 | 배송 59/69 | 재적재 10 | 중계율 0.24 | alpha 0.137 | step_limit
Ep 9 | 드론4 목적지66 | 1000스텝 | 배송 65/66 | 재적재 11 | 중계율 0.31 | alpha 0.148 | step_limit
Ep 10 | 드론4 목적지26 |  576스텝 | 배송 26/26 | 재적재  4 | 중계율 0.27 | alpha 0.154 | complete
Ep 11 | 드론6 목적지32 |  258스텝 | 배송 32/32 | 재적재  5 | 중계율 0.13 | alpha 0.157 | complete
